Bus_Number,Model,Type
SG1751Y,MAN A22,SD
SMB3052R,MAN A22,SD
SMB1533H,MAN A22,SD
SMB1583M,MAN A22,SD
SMB266K,MAN A22,SD
SMB1628T,MAN A22,SD
SMB3124S,MAN A22,SD
SMB1419E,MAN A22,SD
SMB269C,MAN A22,SD
SMB317Y,MAN A22,SD
SMB1304C,MAN A22,SD
SMB1450M,MAN A22,SD
SMB3108P,MAN A22,SD
SMB1499Z,MAN A22,SD
SMB1504S,MAN A22,SD
SMB3122Y,MAN A22,SD
SMB1318M,MAN A22,SD
SMB1392Y,MAN A22,SD
SMB1354H,MAN A22,SD
SMB1635Y,MAN A22,SD
SMB3130Z,MAN A22,SD
SMB1550H,MAN A22,SD
SG1780M,MAN A22,SD
SMB1422U,MAN A22,SD
SMB1577G,MAN A22,SD
SMB1344L,MAN A22,SD
SMB1617A,MAN A22,SD
SMB347K,MAN A22,SD
SMB3129D,MAN A22,SD
SMB315C,MAN A22,SD
SMB1385T,MAN A22,SD
SMB1383Z,MAN A22,SD
SMB1609Z,MAN A22,SD
SMB3131X,MAN A22,SD
SMB342Z,MAN A22,SD
SMB1566M,MAN A22,SD
SMB284H,MAN A22,SD
SMB299R,MAN A22,SD
SMB1435H,MAN A22,SD
SMB1428D,MAN A22,SD
SMB1404Y,MAN A22,SD
SMB1352M,MAN A22,SD
SMB1535C,MAN A22,SD
SMB1454C,MAN A22,SD
SMB264R,MAN A22,SD
SMB3090E,MAN A22,SD
SMB352U,MAN A22,SD
SMB285E,MAN A22,SD
SMB1632E,MAN A22,SD
SMB233E,MAN A22,SD
SMB1384X,MAN A22,SD
SMB1342S,MAN A22,SD
SMB327T,MAN A22,SD
SMB1507J,MAN A22,SD
SG1733A,MAN A22,SD
SMB1455A,MAN A22,SD
SMB1556S,MAN A22,SD
SMB1395P,MAN A22,SD
SMB1618Y,MAN A22,SD
SMB3126L,MAN A22,SD
SMB1553A,MAN A22,SD
SMB246T,MAN A22,SD
SMB247R,MAN A22,SD
SMB1612M,MAN A22,SD
SMB1615E,MAN A22,SD
SMB258J,MAN A22,SD
SMB1552C,MAN A22,SD
SMB3119H,MAN A22,SD
SMB1309P,MAN A22,SD
SMB344T,MAN A22,SD
SMB1373C,MAN A22,SD
SMB1647M,MAN A22,SD
SMB1508G,MAN A22,SD
SMB1642B,MAN A22,SD
SMB1340Y,MAN A22,SD
SMB1343P,MAN A22,SD
SMB1637S,MAN A22,SD
SMB3160L,MAN A22,SD
SMB1431T,MAN A22,SD
SMB348H,MAN A22,SD
SMB296Z,MAN A22,SD
SMB1511X,MAN A22,SD
SMB1477L,MAN A22,SD
SMB1355E,MAN A22,SD
SMB1606G,MAN A22,SD
SMB1547T,MAN A22,SD
SMB216E,MAN A22,SD
SMB1307U,MAN A22,SD
SMB237U,MAN A22,SD
SMB251C,MAN A22,SD
SMB1555U,MAN A22,SD
SMB262X,MAN A22,SD
SMB1353K,MAN A22,SD
SMB293G,MAN A22,SD
SMB1313B,MAN A22,SD
SMB1622J,MAN A22,SD
SMB329M,MAN A22,SD
SMB1525G,MAN A22,SD
SMB260B,MAN A22,SD
SMB1638P,MAN A22,SD
SMB243B,MAN A22,SD
SMB1600Y,MAN A22,SD
SMB1631H,MAN A22,SD
SMB1510Z,MAN A22,SD
SMB336S,MAN A22,SD
SMB1314Z,MAN A22,SD
SMB1399D,MAN A22,SD
